price_band,0-5s,5-10s,10-15s,15-20s,20-25s,25-30s,30-35s,35-40s,40-45s,45-50s,50-55s,55-60s,60-65s,65-70s,70-75s,75-80s,80-85s,85-90s,90-95s,95-100s,100-105s,105-110s,110-115s,115-120s,120-125s,125-130s,130-135s,135-140s,140-145s,145-150s,150-155s,155-160s,160-165s,165-170s,170-175s,175-180s,180-185s,185-190s,190-195s,195-200s,200-205s,205-210s,210-215s,215-220s,220-225s,225-230s,230-235s,235-240s,240-245s,245-250s,250-255s,255-260s,260-265s,265-270s,270-275s,275-280s,280-285s,285-290s,290-295s,295-300s
0.15-0.18,-1.960784313725503,162.20344768731866,61.70516394530732,62.03703703703704,-33.70681605975723,198.24357243712083,34.10845222198795,0.524149053560813,11.79825465539751,-8.369408369408372,-3.98107196320718,-17.739608062188708,-49.97013142174433,-47.28800611153553,36.99527274796092,14.959983059352142,-12.605042016806731,-27.806993765248038,-72.78911564625851,-40.41800493413397,-44.85294117647059,-25.52995391705069,-25.4603275001757,-46.779624198979036,-63.76050420168068,-67.11919292564453,-12.665009887232111,-11.330405954061872,-58.20271682340648,-10.783413457210255,-70.95959595959597,-67.32026143790848,-79.7160243407708,-60.899315738025415,0.3856277162269664,15.95064963186405,47.77535067057126,35.868384499449824,34.349102741402426,20.763161569613178,13.16134845546609,-9.23270941192088,68.80412966750727,37.370246241213984,1.8456625074272075,48.989898989898975,-3.9096396906244073,-21.444458611359032,-59.5959595959596,30.40834613415259,-26.215277777777775,100.0715568077997,15.469208211143698,29.06846240179573,237.47614392775685,136.11111111111111,,-100.0,,
0.18-0.21,1.6731016731016801,123.3686556536364,21.031746031746035,-4.566176228563909,52.06275900459766,-33.33333333333333,-22.847659689764953,-0.645923752470606,7.997727111300512,79.62471845655415,46.52014652014652,63.257534724340246,17.52804435731266,-47.3355057437214,-42.23363286264441,-18.9462742094321,12.028215686752274,-71.5099715099715,14.860962742862613,-43.349943349943345,-11.171877991099958,-20.49610499649839,-18.879159406717484,33.50945482440711,60.053204414812,60.306702052530035,3.556264018394955,-40.484989265477076,-34.009080350543755,-77.8270509977827,-47.2565761764368,-60.06996006996006,-73.61825616673262,-43.21915900863269,-43.58745321518107,-25.851378611327263,-11.82181125078739,-2.216459908767602,13.055221848546624,-7.3952117069235515,1.8830903298169017,-29.09471480900052,-60.97560975609756,-11.702100684631239,-33.7189910360642,-24.192485168094922,-20.202615966415706,-54.95495495495495,0.8365508365508401,-16.586435601198115,50.42161610159798,26.084775475019377,48.827667624660116,28.49170743907586,152.01878707976272,67.08437761069341,-100.0,-100.0,,
0.21-0.24,182.76758393407385,127.07625453620876,7.638888888888884,-38.54896260076649,-100.0,-23.24947246860508,-15.484633569739945,-22.60843731431967,-17.77146464646465,0.667527993109388,47.451578055239615,-28.05015931750437,21.025263202853054,59.45214798049507,120.67666084396664,17.79099972902008,10.447883502683105,-28.044448529787257,-56.98427382053654,-49.02189220542167,-35.12002573798164,-56.14478114478114,14.88857062750536,12.44339735804357,10.874931110285974,-28.22244180939833,0.4966344745438469,-29.173126614987083,5.964092009743105,-47.547281323877066,-31.829571550006975,-18.674347867696934,34.596399639533686,3.1328639680079977,-13.94048389347746,-13.556040525282837,14.217959590341845,20.274971623362926,15.013712440728774,-15.157937781800271,-9.97272493195734,13.562226253963017,1.5325670498084278,-13.279406808223799,-17.042977651156985,-53.31018354892675,-14.779138430796024,-30.67071115604988,-12.858920726313103,16.11413491670791,34.92759032950863,-41.09574000878349,9.32835062758906,-29.753605449417275,38.165367861512884,90.90405718312695,-13.04347826086957,-100.0,-100.0,-100.0
0.24-0.27,32.851909994767134,87.52945487177293,11.52768799827623,-100.0,-100.0,-37.65182186234817,-57.249147038270245,17.963030050942137,20.79085053557861,-47.47116237799467,43.014724116757776,15.530455368730294,12.404581248722675,-60.26390763232868,-30.194299942199105,-33.75127828909342,-31.168403500732662,-3.7323833627260687,-66.01232450289054,13.560125980188339,-34.263390890947576,-29.9504417151476,-33.39692315542903,1.522386191238512,39.16740816629829,36.491281759823956,-25.980726603965742,-31.746283419027993,25.888306805201854,76.7540973277985,27.595110720738326,-43.80576984268357,-51.07147281060325,18.574104862631753,-8.397182234717251,-11.174259913755714,-46.37980155221535,9.620300434316604,-5.9589432719817,-13.614977787061719,7.160077383638501,-23.30749426040373,21.26583880136309,19.784222138404168,20.25452947362374,-17.860330079557393,-9.62673302401647,-12.09501721835688,-0.4271107239135643,-27.05367047103742,5.43899546594964,-30.354422326764997,-49.986661331199144,-44.712430426716146,-48.48106466666935,-52.83018867924528,-100.0,-100.0,-100.0,
0.27-0.30,-46.88644688644688,81.90595225745932,88.5840737543343,72.61904761904762,-13.03690260133091,-100.0,-24.364482635159327,58.315189583453765,3.9871953971759813,-19.413919413919416,-50.43078599060898,-8.627845443336005,20.783149095308808,-43.12169312169312,1.4802365007647558,-1.819923371647509,-15.214761040532363,9.261184947917855,12.57309941520468,1.1479001764045005,-12.184458010229337,-21.654536899545974,-31.901422170270795,-48.8603156049094,-48.195404335755214,-31.53383216904088,-50.717310517673496,-8.78455148195835,-23.093143955059116,24.64813059040563,-21.742775767814983,27.38626791518438,-9.527130995911069,-15.237172596673041,-24.245259645437756,-31.133592841889,-45.24148757207295,-40.9736680607824,-6.07348164842562,-49.15210103180028,-13.962127210766049,1.7003276963049947,0.7592032028122261,0.5056865181314233,35.230688919667365,30.268483949442626,13.774869682178355,8.290139452938329,-15.756007238365966,-18.280831371295385,-7.898395327382603,6.240404704606227,-32.23117841300498,-32.21884786528423,-43.800410116199586,-1.727336068595407,-0.49317107428487633,-3.1198686371100153,-56.896551724137936,-100.0
0.30-0.33,111.69354838709677,-20.595533498759306,-54.63709677419354,37.564213945758105,-67.21311475409837,-46.236559139784944,25.992063492063494,-36.50793650793651,41.111253342436136,5.874316939890711,-41.78464977645305,-32.67050409907553,19.69766065028162,1.482858539310153,11.142743904840678,-16.685168680423214,-78.83597883597884,-15.631901492557231,-21.21524529146158,-9.266925683976375,0.3264718665230772,-26.160414538023645,71.41326415519964,-20.18090250672218,-2.880035542188073,-12.219456904808569,-10.514011862711294,-47.69060091640738,-65.27212499434722,-41.57408488450265,-16.926836176772948,-10.84194039112072,-18.52404038949816,-24.959426169686846,-29.100454984950307,-2.27093381585307,-11.072689282631112,-33.00193658800216,-11.607417275714473,5.573085081281802,-15.368341796157772,-16.411259864667976,-17.291901581519067,-55.6655854352293,-54.259912483074835,-20.411750884573276,-17.291901581519067,-10.343360876194978,16.300825009841404,-11.70811657784363,-23.161128244417508,-37.95155755317927,9.569842618341578,-76.46069777217318,-51.264282801829076,-31.732458115654836,-23.64423927466913,47.98082957436863,-1.5069373014904468,88.55459057071961
0.33-0.36,52.794295393837274,52.13711406983571,35.20667546313961,-53.703703703703695,-2.731620771854383,-45.896071227021125,4.216120601584589,-72.45179063360881,-31.431320139950902,-19.876757076425676,66.99174175374661,12.687234518220441,-8.494198028076488,-32.737744315405884,-31.020090086728725,-27.427891102166786,-64.78407481928609,-18.29497205551485,-18.586576756182623,-14.20832839909664,-4.650969791814856,-19.507208800396434,-48.78452039577359,-26.941984818363796,-3.7273129239363376,-15.052256691942882,39.49082045381546,13.358692212248341,-28.378057050276933,-27.87488706417676,-31.131574240370163,-75.933039313321,-60.0609079421521,-37.93834078739296,-43.40451860184459,-24.935637624816167,-13.305396965679266,-19.23276739682871,-19.233908828190938,-19.001630344411815,-31.89683777002556,-44.73725665132226,-15.595141878839181,-33.17318807900193,-38.32950932858466,-45.44364555835066,-30.731134505120174,-16.102203963409448,-0.25938795208477167,6.666716271810837,20.516117352649747,30.611085811694355,17.920629417426365,-29.805849233609656,-16.69671314248707,-25.426173550339048,-61.62022387630589,12.712991627077685,-32.243847138682426,54.51910976207651
0.36-0.39,32.906590801327646,44.44942918627129,9.04356367692387,-66.21621621621621,-10.288803583684619,-40.318833613714645,-100.0,-23.016445222645647,-58.97435897435898,-50.850975508509755,23.916118436666387,4.948384948384946,16.50073654399538,31.35556664756376,-20.161398582451216,-29.21599987209215,12.684994808472217,-23.773906614569917,-3.363252818722786,-45.58379426800479,-22.934221618432144,-13.999245743594527,-37.53456223026603,-26.7641490996288,-44.259015545965795,-15.059750894809158,-7.893869959201884,-8.282065154890459,13.705668016101635,-38.987321173556,-10.805383047632503,-30.685315208266417,-13.678588694492674,6.052076457722879,-18.93591257817514,-42.495688937135014,14.853930521150982,-1.3610984856584745,18.137496590478356,-24.688878206233237,27.017602176545612,-28.47228779997345,-34.00745499880323,-14.814540676536522,3.444117547200181,-19.1901721973317,-34.44149464336919,-48.67781090873067,-41.77378838078365,1.8165055766963607,-7.4931510547948905,21.334106238576318,39.58243684271082,8.935432990736441,-34.65215797587824,-30.54862878692853,-8.44105489414414,-1.1890462548357303,-19.660593663376982,-24.06007180811118
0.39-0.42,101.55314842461081,37.80559441996871,-35.738307469133204,-52.094090648307514,-38.271604938271615,25.79113924050633,85.97560975609755,-7.7461435739872115,-27.41698501322362,-1.1743175232575886,23.069663075937015,-31.555230663760426,-5.9374079699282944,-17.86161237809552,-17.469628474830724,-56.75927836438831,-22.4348754605859,24.801662171735238,-54.99856569133678,-22.4348754605859,-38.62951807228915,-24.258216941143772,-17.208052304193348,-30.372426922478407,-40.584248518796215,-69.63161287123803,-23.01878608871065,-18.36606922989295,0.5272251155696883,-3.173651195576151,0.1950436632436978,9.563547613369623,18.25703017663642,18.125937071711977,15.549636806579775,-2.9881162372144177,25.319862961542455,4.704048080923758,-8.157544834576411,-0.17694011169156312,-1.7617104898617508,-35.946692119974536,-29.856405529667583,-31.860346112048816,-16.61100989032616,-27.63456848773106,-23.82690560183903,-14.283590696063683,-2.0408770066608724,11.504152542901954,44.1436509878066,13.687392005914628,4.906213715303336,12.950287268199226,18.19953764793412,1.9045617412391587,-7.2848598508570905,-15.14204386857597,4.21532973960963,27.66423825037338
0.42-0.45,-67.15493808517064,25.17627038851829,-42.50847697984011,-35.42973880052532,15.428559717589671,-22.905525846702318,-100.0,-8.568443051201667,-100.0,-100.0,14.289446185997914,-29.649332821837778,-48.88742013659396,-59.14198161389172,-28.149394554059864,-14.928659903960176,-19.009377552577863,-72.31833910034602,-27.803862298417243,-11.157242210593783,-58.67768595041323,-51.590350857200896,-50.1616203819138,-15.40461139027946,4.191557330843102,-10.583374555996752,8.685224097987055,14.833077806090103,-6.530675907240348,3.612422743744393,-4.966619694325739,9.744201537285766,26.629275187738227,37.03636902974798,44.61548917620886,-5.4702127230583,26.01688302762818,-14.96832960703156,-20.888566279782474,-35.0029643336521,-47.148213988630985,-52.43121570323082,-24.57423630811828,-33.30834253828024,-18.286159443174878,-9.197599953066742,-9.578564536934092,-14.00471637419029,-18.511360057858482,-13.344996353865174,-10.579530347498189,-2.362237728385484,-13.934565852556338,3.567765772973671,12.842168888272399,-13.719999314624202,4.20670491789444,2.2123492555224633,-3.968810415796733,-7.474923664700427
0.45-0.48,-24.150942145033643,-10.546134862396967,-7.021451261220724,-8.467001520990863,-27.67537573029564,-28.315412186379934,-56.52173913043479,-63.76811594202899,-42.17214590729022,-14.411338519997265,-36.72548031880899,-73.40425531914893,-53.21118991331757,17.989914254769936,7.369006391901861,-24.139005765934243,-4.973485854451712,-12.923688113963422,19.12033931441541,-9.071296699673184,2.581237171465647,-16.38383882447413,6.628064613053144,21.160392345759696,10.962160108935112,17.026424136059383,7.750904104735734,-16.63439812618456,-20.800120377026783,11.284471537982602,9.7913479508193,-1.452378214329124,2.522823434083521,-8.177671506240197,24.662728350009356,34.55864541784238,10.34481697634018,14.16954306619804,3.9536796078319516,-10.141120147427976,-4.168701236425662,-15.377401982472941,-12.866628215748795,-10.490244729669648,-12.452655327124345,-13.474404150368574,-9.88910663529822,-7.580197637794897,-3.68601921228396,-4.702377575540919,-3.4142505576374917,-5.592878125046471,-1.6676158863698571,9.872470681529448,12.782028602148854,5.4283532591817085,1.9068064008539782,-2.2101247406428803,-5.270826944887303,-3.9478161990978586
