TP,0.30-0.33,0.33-0.36,0.36-0.39,0.39-0.42,0.42-0.45,0.45-0.48,0.48-0.51,0.51-0.54,0.54-0.57,0.57-0.60,0.60-0.63,0.63-0.66,0.66-0.69,0.69-0.72,0.72-0.75,0.75-0.78,0.78-0.81,0.81-0.84,0.84-0.87,0.87-0.90,0.90-0.93,0.93-0.96,0.96-0.99
12c,5.249273657736383,4.006349825805837,5.1932990893976125,5.448359472274085,8.938069202494606,5.672027942549313,3.9789819538228457,6.026098249490033,3.705355877947678,2.116947406088967,0.5330915437242153,-0.5717254321047149,-1.720026112885353,-3.1194659705195247,-4.111684109502069,-8.623475311758432,-7.406594543247305,-9.618977331723288,-2.4358985492078102,-8.257179193513524,-7.769182439321015,-8.719981285082826,-13.837435233160619
15c,3.767857063537372,4.7753817498081235,5.35292795337251,6.794158403296553,10.68799089290557,6.311193796098988,5.1823105115720045,6.693129378941519,4.430756879965009,2.977415821655318,1.1834637396559515,-0.18776924610674744,-3.8886906974475473,-4.70938886215553,-3.158978302545519,-8.454807916365837,-6.448496356933772,-8.413586556970124,-11.17118587860541,-8.22525071330918,-7.769182439321015,-8.719981285082826,-13.837435233160619
20c,3.9572473371434866,5.567836519014055,4.664947700683466,9.293928550593598,11.548161462891743,6.151352777723414,5.657691274221662,7.0136707995502885,4.755334793752106,2.9603074503006988,1.393712002394228,-0.8728201282135254,-2.9787098807186956,-4.105205562286405,-3.3979557541569982,-7.846436955238299,-8.644333164806877,-13.289475217565933,-11.17118587860541,-8.22525071330918,-7.769182439321015,-8.719981285082826,-13.837435233160619
24c,4.193539300112632,7.061702663658516,4.605009175394509,9.147597790161512,12.07322891382841,5.8844441054459935,6.360703071711728,6.879624075430349,4.2523546078734835,1.967948083160604,0.06797866380270719,-0.9772372611895355,-2.528301163725498,-3.8091882620305215,-2.4549449667039656,-13.241769588234975,-12.85734707708244,-13.289475217565933,-11.17118587860541,-8.22525071330918,-7.769182439321015,-8.719981285082826,-13.837435233160619
27c,3.877214056905972,7.376285257655812,4.112930707221741,8.925036682861814,12.437368781840844,5.98679338863591,6.068629771402398,7.46138113643104,4.8540904678585,2.8270034911572264,-0.16952551474119187,-1.553444421953962,-3.4833188293177004,-5.478558704210844,-10.75870215487575,-15.491279522009807,-12.85734707708244,-13.289475217565933,-11.17118587860541,-8.22525071330918,-7.769182439321015,-8.719981285082826,-13.837435233160619
31c,4.372904129550857,7.155970124810221,2.760018756213932,8.725175113515503,12.785855783240457,6.431181090090979,7.789848374372483,8.602849956758481,5.259932009625685,2.861771213462521,0.0987182749854931,-1.0183094850258196,-6.581834973997171,-14.40506355832119,-10.75870215487575,-15.491279522009807,-12.85734707708244,-13.289475217565933,-11.17118587860541,-8.22525071330918,-7.769182439321015,-8.719981285082826,-13.837435233160619
36c,5.580398785736226,6.55575389216321,1.3145316745701507,8.290465578414686,11.845906090049734,7.368358835820252,6.860565578586772,9.62353460520797,5.9527072172704205,3.1102225750636,-0.9382877196255246,-6.936632851177997,-9.965271038292917,-14.40506355832119,-10.75870215487575,-15.491279522009807,-12.85734707708244,-13.289475217565933,-11.17118587860541,-8.22525071330918,-7.769182439321015,-8.719981285082826,-13.837435233160619
40c,5.29918592339155,4.894812529688005,-1.1747540881152077,7.990952210540765,12.356943808782482,6.798340920998432,6.129382069350045,9.8116529375053,5.155097194267015,-0.2666382196033505,-11.56933142294951,-9.83560999868521,-9.965271038292917,-14.40506355832119,-10.75870215487575,-15.491279522009807,-12.85734707708244,-13.289475217565933,-11.17118587860541,-8.22525071330918,-7.769182439321015,-8.719981285082826,-13.837435233160619
43c,0.8156652901986966,1.8055288037311779,-0.27229637885824376,6.737962833194068,10.297155484160687,4.852393195400921,4.645618811228543,9.394383277529874,-0.9269039831933192,-8.08052831867925,-11.56933142294951,-9.83560999868521,-9.965271038292917,-14.40506355832119,-10.75870215487575,-15.491279522009807,-12.85734707708244,-13.289475217565933,-11.17118587860541,-8.22525071330918,-7.769182439321015,-8.719981285082826,-13.837435233160619
47c,-4.1105694266629005,-0.9641532721599171,-0.2807676439009781,7.749042594494507,9.80902665671509,4.78311260220404,3.1182630871543773,0.5353908238648282,-5.05726404377061,-8.08052831867925,-11.56933142294951,-9.83560999868521,-9.965271038292917,-14.40506355832119,-10.75870215487575,-15.491279522009807,-12.85734707708244,-13.289475217565933,-11.17118587860541,-8.22525071330918,-7.769182439321015,-8.719981285082826,-13.837435233160619
51c,-4.933325606474507,0.35296782939689814,-0.02703125839674019,6.553002405224525,9.442435289593504,2.120894729971984,-3.9601468034857383,-1.4574609229930329,-5.05726404377061,-8.08052831867925,-11.56933142294951,-9.83560999868521,-9.965271038292917,-14.40506355832119,-10.75870215487575,-15.491279522009807,-12.85734707708244,-13.289475217565933,-11.17118587860541,-8.22525071330918,-7.769182439321015,-8.719981285082826,-13.837435233160619
8c,4.208096668188937,2.684349785290125,4.63319817275608,3.7406444561621734,7.192915308684812,5.016692259794343,2.9959271732618125,3.8848617281921816,2.468024105895648,2.086154900204772,-0.40418870424913655,-0.15904954835691396,-2.322826847968525,-2.7488368978433013,-1.9778975580715459,-8.088041053124451,-7.313216871163489,-10.167639322425169,-2.756998046068051,-5.430251428062967,-2.2464640865148087,-8.719981285082826,-13.837435233160619
