2026-04-03 20:21:36,371 [BotG] SKIP | eth-updown-5m-1775247600 | Reason: zero_momentum | Data: mom=0.0
2026-04-03 20:21:36,446 [BotG] SKIP | eth-updown-5m-1775247600 | Reason: below_floor:0.0058 | Data: mom=-0.0058
2026-04-03 20:21:36,522 [BotG] SKIP | doge-updown-5m-1775247600 | Reason: zero_momentum | Data: mom=0.0
2026-04-03 20:21:36,607 [BotG] SKIP | doge-updown-5m-1775247600 | Reason: zero_momentum | Data: mom=0.0
2026-04-03 20:21:36,691 [BotG] SKIP | bnb-updown-5m-1775247600 | Reason: zero_momentum | Data: mom=0.0
2026-04-03 20:21:36,769 [BotG] SKIP | bnb-updown-5m-1775247600 | Reason: zero_momentum | Data: mom=0.0
2026-04-03 20:21:36,843 [BotG] SKIP | sol-updown-5m-1775247600 | Reason: zero_momentum | Data: mom=0.0
2026-04-03 20:21:36,920 [BotG] SKIP | sol-updown-5m-1775247600 | Reason: zero_momentum | Data: mom=0.0
2026-04-03 20:21:36,997 [BotG] SKIP | btc-updown-5m-1775247600 | Reason: below_floor:0.0000 | Data: mom=-0.0
2026-04-03 20:21:37,078 [BotG] SKIP | btc-updown-5m-1775247600 | Reason: below_floor:0.0000 | Data: mom=-0.0
2026-04-03 20:21:37,155 [BotG] SKIP | xrp-updown-5m-1775247600 | Reason: below_floor:0.0076 | Data: mom=-0.0076
2026-04-03 20:21:37,228 [BotG] SKIP | xrp-updown-5m-1775247600 | Reason: below_floor:0.0076 | Data: mom=-0.0076
2026-04-03 20:21:47,322 [BotG] SKIP | eth-updown-5m-1775247600 | Reason: below_floor:0.0049 | Data: mom=-0.0049
2026-04-03 20:21:47,400 [BotG] SKIP | eth-updown-5m-1775247600 | Reason: below_floor:0.0049 | Data: mom=-0.0049
2026-04-03 20:21:47,480 [BotG] SKIP | doge-updown-5m-1775247600 | Reason: below_floor:0.0109 | Data: mom=-0.0109
2026-04-03 20:21:47,566 [BotG] SKIP | doge-updown-5m-1775247600 | Reason: below_floor:0.0109 | Data: mom=-0.0109
2026-04-03 20:21:47,656 [BotG] SKIP | bnb-updown-5m-1775247600 | Reason: dead_zone:0.0424 | Data: mom=-0.0424
2026-04-03 20:21:47,737 [BotG] SKIP | bnb-updown-5m-1775247600 | Reason: dead_zone:0.0424 | Data: mom=-0.0424
2026-04-03 20:21:47,821 [BotG] SKIP | sol-updown-5m-1775247600 | Reason: below_floor:0.0125 | Data: mom=-0.0125
2026-04-03 20:21:47,895 [BotG] SKIP | sol-updown-5m-1775247600 | Reason: below_floor:0.0125 | Data: mom=-0.0125
2026-04-03 20:21:47,976 [BotG] SKIP | btc-updown-5m-1775247600 | Reason: zero_momentum | Data: mom=0.0
2026-04-03 20:21:48,053 [BotG] SKIP | btc-updown-5m-1775247600 | Reason: zero_momentum | Data: mom=0.0
2026-04-03 20:21:48,129 [BotG] SKIP | xrp-updown-5m-1775247600 | Reason: zero_momentum | Data: mom=0.0
2026-04-03 20:21:48,205 [BotG] SKIP | xrp-updown-5m-1775247600 | Reason: zero_momentum | Data: mom=0.0
2026-04-03 20:21:58,306 [BotG] SKIP | eth-updown-5m-1775247600 | Reason: below_floor:0.0307 | Data: mom=-0.0307
2026-04-03 20:21:58,383 [BotG] SKIP | eth-updown-5m-1775247600 | Reason: odds_out_of_band | Data: price=0.87 band=0.15-0.85
2026-04-03 20:21:58,458 [BotG] SKIP | doge-updown-5m-1775247600 | Reason: below_floor:0.0218 | Data: mom=-0.0218
2026-04-03 20:21:58,537 [BotG] SKIP | doge-updown-5m-1775247600 | Reason: below_floor:0.0218 | Data: mom=-0.0218
2026-04-03 20:21:58,634 [BotG] SKIP | bnb-updown-5m-1775247600 | Reason: dead_zone:0.0424 | Data: mom=-0.0424
2026-04-03 20:21:58,711 [BotG] SKIP | bnb-updown-5m-1775247600 | Reason: dead_zone:0.0424 | Data: mom=-0.0424
2026-04-03 20:21:58,785 [BotG] SKIP | sol-updown-5m-1775247600 | Reason: dead_zone:0.0498 | Data: mom=-0.0498
2026-04-03 20:21:58,861 [BotG] SKIP | sol-updown-5m-1775247600 | Reason: dead_zone:0.0498 | Data: mom=-0.0498
2026-04-03 20:21:59,003 [BotG] SKIP | btc-updown-5m-1775247600 | Reason: below_floor:0.0081 | Data: mom=-0.0081
2026-04-03 20:21:59,110 [BotG] SKIP | btc-updown-5m-1775247600 | Reason: below_floor:0.0081 | Data: mom=-0.0081
2026-04-03 20:21:59,186 [BotG] SKIP | xrp-updown-5m-1775247600 | Reason: low_stake | Data: stake=0.0
2026-04-03 20:22:09,805 [BotG] SKIP | eth-updown-5m-1775247600 | Reason: below_floor:0.0190 | Data: mom=-0.019
2026-04-03 20:22:09,897 [BotG] SKIP | eth-updown-5m-1775247600 | Reason: odds_out_of_band | Data: price=0.87 band=0.15-0.85
2026-04-03 20:22:09,972 [BotG] SKIP | doge-updown-5m-1775247600 | Reason: dead_zone:0.0435 | Data: mom=-0.0435
2026-04-03 20:22:10,047 [BotG] SKIP | doge-updown-5m-1775247600 | Reason: dead_zone:0.0435 | Data: mom=-0.0435
2026-04-03 20:22:10,124 [BotG] SKIP | bnb-updown-5m-1775247600 | Reason: dead_zone:0.0424 | Data: mom=-0.0424
2026-04-03 20:22:10,198 [BotG] SKIP | bnb-updown-5m-1775247600 | Reason: dead_zone:0.0424 | Data: mom=-0.0424
2026-04-03 20:22:10,279 [BotG] SKIP | sol-updown-5m-1775247600 | Reason: below_floor:0.0125 | Data: mom=-0.0125
2026-04-03 20:22:10,352 [BotG] SKIP | sol-updown-5m-1775247600 | Reason: below_floor:0.0125 | Data: mom=-0.0125
2026-04-03 20:22:10,428 [BotG] SKIP | btc-updown-5m-1775247600 | Reason: below_floor:0.0081 | Data: mom=-0.0081
